iter	Passed	Remaining
0	1	135
1	2	125
2	3	124
3	4	114
4	5	112
5	7	110
6	8	111
7	9	111
8	10	110
9	12	108
10	13	106
11	14	105
12	15	103
13	16	103
14	18	103
15	19	102
16	20	100
17	21	99
18	22	97
19	24	96
20	25	94
21	26	93
22	27	92
23	28	90
24	29	89
25	31	88
26	32	87
27	33	85
28	34	84
29	35	83
30	36	81
31	37	80
32	39	79
33	40	79
34	42	78
35	43	77
36	44	76
37	45	75
38	47	73
39	48	72
40	49	71
41	50	69
42	51	68
43	52	67
44	53	65
45	55	64
46	56	63
47	57	62
48	58	61
49	59	59
50	61	58
51	62	58
52	64	56
53	65	55
54	66	54
55	67	52
56	68	51
57	69	50
58	70	49
59	71	47
60	72	46
61	74	45
62	75	44
63	76	43
64	77	41
65	78	40
66	80	39
67	81	38
68	82	37
69	83	35
70	84	34
71	86	33
72	87	32
73	88	31
74	89	29
75	90	28
76	91	27
77	93	26
78	94	25
79	95	23
80	96	22
81	97	21
82	98	20
83	99	19
84	101	17
85	102	16
86	103	15
87	104	14
88	106	13
89	107	11
90	108	10
91	109	9
92	111	8
93	112	7
94	113	5
95	114	4
96	116	3
97	117	2
98	118	1
99	120	0
