iter	Passed	Remaining
0	2	2408
1	9	4675
2	16	5413
3	21	5353
4	25	5141
5	30	4999
6	33	4802
7	39	4946
8	44	4884
9	47	4695
10	50	4517
11	55	4600
12	58	4408
13	60	4246
14	62	4095
15	64	3961
16	71	4124
17	73	4014
18	75	3910
19	77	3807
20	79	3723
21	84	3753
22	86	3694
23	89	3621
24	90	3546
25	92	3480
26	95	3436
27	100	3472
28	102	3429
29	104	3372
30	106	3325
31	108	3281
32	111	3268
33	116	3305
34	119	3305
35	123	3294
36	126	3288
37	131	3332
38	134	3305
39	136	3276
40	141	3305
41	146	3332
42	148	3301
43	150	3266
44	153	3260
45	159	3307
46	162	3289
47	165	3276
48	168	3261
49	170	3244
50	175	3269
51	179	3276
52	181	3250
53	184	3235
54	189	3259
55	193	3264
56	195	3238
57	197	3209
58	199	3184
59	204	3199
60	208	3203
61	211	3198
62	214	3188
63	218	3195
64	222	3205
65	225	3190
66	227	3172
67	229	3151
68	233	3157
69	237	3159
70	239	3138
71	241	3117
72	243	3096
73	246	3083
74	250	3094
75	253	3079
76	255	3059
77	257	3040
78	259	3027
79	263	3034
80	266	3028
81	269	3011
82	270	2983
83	272	2966
84	274	2951
85	276	2941
86	280	2948
87	282	2932
88	284	2916
89	286	2901
90	289	2887
91	292	2884
92	295	2880
93	297	2868
94	299	2853
95	301	2838
96	303	2826
97	305	2815
98	310	2824
99	313	2824
100	317	2822
101	319	2812
102	323	2814
103	327	2823
104	330	2816
105	333	2809
106	336	2804
107	341	2820
108	343	2810
109	345	2799
110	347	2786
111	349	2773
112	353	2777
113	356	2774
114	358	2762
115	360	2750
116	362	2734
117	364	2723
118	366	2716
119	371	2721
120	373	2711
121	374	2697
122	376	2685
123	378	2674
124	380	2663
125	384	2669
126	386	2659
127	388	2648
128	390	2638
129	392	2627
130	394	2617
131	399	2624
132	402	2625
133	405	2623
134	409	2621
135	411	2614
136	416	2620
137	419	2618
138	421	2610
139	423	2602
140	425	2593
141	428	2591
142	432	2592
143	434	2583
144	436	2574
145	438	2565
146	441	2560
147	446	2571
148	449	2568
149	452	2562
150	454	2557
151	457	2554
152	463	2565
153	465	2558
154	467	2550
155	470	2543
156	472	2535
157	476	2538
158	478	2531
159	480	2523
160	481	2510
161	483	2503
162	486	2495
163	489	2494
164	492	2492
165	494	2485
166	496	2476
167	498	2469
168	500	2461
169	503	2457
170	507	2459
171	510	2455
172	512	2450
173	515	2446
174	517	2441
175	522	2447
176	525	2441
177	527	2436
178	529	2428
179	531	2420
180	534	2420
181	538	2422
182	541	2416
183	543	2410
184	545	2404
185	548	2398
186	552	2403
187	555	2397
188	557	2391
189	559	2384
190	561	2376
191	564	2374
192	567	2371
193	569	2366
194	571	2359
195	573	2352
196	575	2345
197	577	2339
198	581	2342
199	584	2338
200	586	2331
201	588	2324
202	590	2317
203	592	2310
204	596	2313
205	599	2310
206	602	2307
207	605	2303
208	607	2298
209	612	2306
210	615	2302
211	617	2296
212	619	2289
213	621	2283
214	626	2286
215	629	2285
216	631	2279
217	633	2272
218	635	2265
219	637	2260
220	643	2267
221	645	2262
222	647	2255
223	649	2249
224	651	2243
225	653	2239
226	657	2240
227	660	2235
228	662	2228
229	663	2222
230	665	2216
231	668	2211
232	672	2212
233	674	2208
234	676	2202
235	678	2196
236	680	2190
237	683	2188
238	687	2190
239	690	2187
240	693	2184
241	696	2181
242	698	2176
243	702	2175
244	706	2177
245	709	2175
246	712	2171
247	714	2166
248	719	2169
249	722	2166
250	724	2160
251	726	2156
252	728	2150
253	730	2145
254	734	2147
255	736	2141
256	739	2136
257	741	2131
258	743	2126
259	746	2123
260	749	2123
261	751	2117
262	754	2113
263	756	2108
264	758	2103
265	761	2102
266	764	2098
267	766	2094
268	769	2090
269	771	2086
270	774	2083
271	779	2085
272	781	2081
273	783	2076
274	785	2071
275	787	2065
276	789	2061
277	794	2063
278	798	2062
279	801	2060
280	804	2058
281	809	2060
282	812	2058
283	815	2055
284	817	2050
285	819	2044
286	824	2048
287	827	2045
288	829	2040
289	831	2035
290	833	2030
291	836	2027
292	839	2026
293	841	2021
294	843	2016
295	845	2011
296	847	2006
297	850	2002
298	854	2002
299	856	1998
300	858	1993
301	860	1988
302	862	1983
303	864	1979
304	869	1980
305	871	1976
306	873	1972
307	875	1966
308	877	1961
309	880	1959
310	885	1961
311	888	1959
312	891	1957
313	894	1954
314	900	1958
315	903	1956
316	906	1953
317	909	1950
318	914	1952
319	917	1950
320	919	1945
321	921	1940
322	923	1936
323	926	1932
324	930	1932
325	932	1928
326	934	1923
327	936	1919
328	938	1914
329	940	1910
330	945	1910
331	947	1906
332	949	1901
333	951	1897
334	953	1892
335	955	1888
336	960	1888
337	962	1885
338	964	1880
339	966	1877
340	968	1872
341	970	1867
342	975	1868
343	977	1864
344	980	1860
345	982	1856
346	984	1851
347	985	1846
348	990	1847
349	993	1844
350	995	1840
351	998	1838
352	1000	1834
353	1006	1836
354	1009	1833
355	1011	1829
356	1013	1825
357	1015	1820
358	1019	1819
359	1023	1818
360	1025	1814
361	1027	1810
362	1029	1805
363	1031	1801
364	1035	1801
365	1037	1798
366	1040	1794
367	1042	1789
368	1044	1785
369	1046	1781
370	1051	1783
371	1054	1779
372	1056	1775
373	1058	1771
374	1060	1767
375	1062	1762
376	1066	1762
377	1069	1760
378	1072	1756
379	1074	1753
380	1077	1750
381	1082	1750
382	1085	1748
383	1088	1746
384	1092	1744
385	1095	1743
386	1100	1743
387	1103	1741
388	1106	1737
389	1108	1733
390	1113	1733
391	1115	1730
392	1117	1726
393	1121	1724
394	1123	1720
395	1127	1720
396	1130	1716
397	1132	1712
398	1134	1708
399	1136	1704
400	1138	1700
401	1143	1700
402	1146	1697
403	1148	1693
404	1150	1689
405	1152	1685
406	1154	1681
407	1158	1680
408	1160	1677
409	1162	1673
410	1165	1669
411	1166	1665
412	1168	1661
413	1173	1661
414	1177	1659
415	1179	1656
416	1182	1652
417	1184	1649
418	1190	1651
419	1193	1647
420	1195	1643
421	1197	1639
422	1199	1635
423	1204	1636
424	1207	1633
425	1209	1629
426	1211	1625
427	1213	1621
428	1215	1618
429	1219	1617
430	1222	1614
431	1224	1610
432	1226	1605
433	1228	1602
434	1232	1600
435	1235	1598
436	1237	1594
437	1239	1590
438	1241	1586
439	1243	1582
440	1245	1579
441	1250	1578
442	1252	1574
443	1254	1571
444	1256	1567
445	1258	1563
446	1261	1560
447	1265	1559
448	1269	1558
449	1272	1555
450	1275	1552
451	1280	1552
452	1285	1552
453	1288	1549
454	1291	1546
455	1298	1548
456	1300	1545
457	1303	1542
458	1305	1539
459	1311	1539
460	1314	1536
461	1316	1532
462	1318	1529
463	1321	1526
464	1325	1525
465	1328	1522
466	1331	1519
467	1333	1515
468	1335	1511
469	1337	1507
470	1341	1506
471	1343	1502
472	1345	1499
473	1347	1495
474	1349	1491
475	1350	1487
476	1354	1485
477	1358	1483
478	1361	1480
479	1363	1477
480	1365	1473
481	1368	1470
482	1372	1469
483	1375	1466
484	1377	1462
485	1379	1458
486	1381	1454
487	1384	1452
488	1388	1450
489	1390	1447
490	1392	1443
491	1394	1439
492	1396	1435
493	1400	1434
494	1403	1431
495	1405	1427
496	1407	1424
497	1409	1420
498	1411	1416
499	1413	1413
500	1417	1411
501	1419	1408
502	1421	1404
503	1423	1400
504	1425	1397
505	1427	1394
506	1432	1392
